theorem_id,theorem_text,subject,difficulty,num_attempts,strategy_entropy,num_distinct_strategies,most_common_strategy,max_strategy_fraction,correct_rate,avg_proof_length_words
8,Prove that every subgroup of a cyclic group is cyclic.,algebra,3,5,1.3709505944546687,3,casework,0.6,1.0,551.2
16,Prove that every injective linear map is surjective.,linear algebra,4,5,1.3709505944546687,3,counterexample,0.6,0.6,294.6
11,Prove that every subgroup of a finitely generated group is finitely generated.,group theory,4,5,0.9709505944546686,2,counterexample,0.6,0.6,504.2
7,Prove that every finite integral domain is a field.,algebra,3,5,0.9709505944546686,2,construction,0.6,1.0,389.2
3,"Prove that if n^2 is even, then n is even.",number theory,2,5,0.7219280948873623,2,contrapositive,0.8,1.0,240.8
4,"Prove that sum_{k=0}^n binom(n,k)=2^n.",combinatorics,2,5,0.7219280948873623,2,algebraic,0.8,1.0,189.8
18,Prove that every finite group is cyclic.,group theory,4,5,0.7219280948873623,2,counterexample,0.8,0.8,404.4
2,Prove that the product of two odd integers is odd.,number theory,1,5,0.7219280948873623,2,direct,0.8,1.0,195.6
14,Prove that every connected graph with n vertices has n-1 edges.,graph theory,4,5,-0.0,1,induction,1.0,0.0,532.6
19,Prove that the harmonic series converges.,analysis,4,5,-0.0,1,comparison,1.0,1.0,313.6
17,"Prove that if A and B are independent, then A and B^c are not independent.",probability,4,5,-0.0,1,probabilistic,1.0,1.0,269.4
15,Prove that every bounded sequence converges.,analysis,4,5,-0.0,1,counterexample,1.0,1.0,437.4
1,Prove that the sum of the first n odd positive integers is n^2.,induction,1,5,-0.0,1,induction,1.0,1.0,277.0
13,Prove that pairwise independence of events implies mutual independence.,probability,4,5,-0.0,1,counterexample,1.0,0.8,365.6
12,Prove that every continuous function on an open interval is uniformly continuous.,analysis,4,5,-0.0,1,counterexample,1.0,1.0,435.0
10,Prove that there are infinitely many primes.,number theory,2,5,-0.0,1,contradiction,1.0,1.0,316.2
9,Prove that every tree with n vertices has n-1 edges.,graph theory,3,5,-0.0,1,induction,1.0,1.0,380.2
6,Prove that every convergent sequence is bounded.,analysis,2,5,-0.0,1,construction,1.0,1.0,204.0
5,"Prove that if A and B are independent events, then A^c and B are independent.",probability,2,5,-0.0,1,probabilistic,1.0,1.0,257.6
20,"Prove that if n is prime, then 2^n - 1 is prime.",number theory,4,5,-0.0,1,counterexample,1.0,1.0,380.0
